Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RAPiD-17-5-P,,7.505,4201.25048828125,,,6126.7470703125,4186.7470703125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.515000000000001,4252.2138671875,,,6160.22119140625,4231.22119140625,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.525,4303.16943359375,,,6175.63623046875,4263.63623046875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.535,4354.12353515625,,,6217.98974609375,4317.98974609375,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.545,4405.08740234375,,,6242.9267578125,4365.9267578125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.555,4456.04052734375,,,6262.86328125,4426.86328125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.565,4507.001953125,,,6305.80029296875,4475.80029296875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.575,4557.95068359375,,,6340.7373046875,4521.7373046875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.585,4608.9150390625,,,6375.673828125,4577.673828125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPiD-17-5-P,,7.595,4659.8759765625,,,6417.61083984375,4633.61083984375,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
