Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
V26-176_b,,0.0,1392.2174072265625,,,2335.11474609375,1437.11474609375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.01,1448.56396484375,,,2363.07763671875,1486.0777587890625,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.02,1504.9110107421875,,,2384.040771484375,1532.040771484375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.03,1561.2572021484375,,,2417.003662109375,1576.003662109375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.04,1617.604736328125,,,2448.123779296875,1628.123779296875,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.05,1673.9522705078125,,,2489.33935546875,1678.3392333984375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.06,1730.298828125,,,2521.5546875,1735.5546875,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.07,1786.6475830078125,,,2549.770263671875,1790.770263671875,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.08,1842.9925537109373,,,2589.062744140625,1850.062744140625,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.09,1899.341796875,,,2643.114013671875,1906.114013671875,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.1,1955.6865234375,,,2691.165283203125,1966.165283203125,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.11,2014.98095703125,,,2720.79443359375,2029.79443359375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.12,2074.275146484375,,,2768.654052734375,2096.654052734375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.13,2133.5673828125,,,2798.513671875,2153.513671875,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.14,2192.860595703125,,,2876.37353515625,2214.37353515625,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.15,2252.15576171875,,,2940.233154296875,2279.233154296875,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
V26-176_b,,0.16,2307.751953125,,,2976.8427734375,2326.8427734375,"3,4",Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019) ; AMS, bacon, pdv",1
