/* DATA DESCRIPTION:
Citation:	Thomson, John; Nixon, S; Summerhayes, Colin P; Schönfeld, Joachim; Zahn, Rainer; Grootes, Pieter Meiert (1999): Stable oxygen and carbon isotope ratios of Cibicidoides wuellerstorfi of sediment core MD95-2039. PANGAEA, https://doi.org/10.1594/PANGAEA.59909, 
	In supplement to: Thomson, J et al. (1999): Implications for sedimentation changes on the Iberian margin over the last two glacial/interglacial transitions from (230Th-excess)0 systematics. Earth and Planetary Science Letters, 165(3-4), 255-270, https://doi.org/10.1016/S0012-821X(98)00265-9
Related to:	Thomson, John; Nixon, S; Summerhayes, Colin P; Rohling, Eelco J; Schönfeld, Joachim; Zahn, Rainer; Grootes, Pieter Meiert; Abrantes, Fatima F; Gaspar, Luis; Vaqueiro, Sandra (2000): Enhanced productivity on the Iberian margin during glacial/interglacial transitions revealed by barium and diatoms. Journal of the Geological Society, Geological Society of London, 157(3), 667-677, http://jgs.lyellcollection.org/cgi/content/abstract/157/3/667
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.578500 * LONGITUDE: -10.348500
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 35.20 m
Event(s):	MD95-2039 (MD952039) * LATITUDE: 40.578500 * LONGITUDE: -10.348500 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -3381.0 m * Recovery: 36 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	504 data points
*/
Depth [m]	C. wuellerstorfi δ13C [‰ PDB]	C. wuellerstorfi δ18O [‰ PDB]
0.02	0.75	2.66
0.10	0.97	2.65
0.20	1.05	2.63
0.30	0.98	2.71
0.40	0.87	2.71
0.50	0.87	2.74
0.60	0.95	2.74
0.70	0.85	2.89
0.80	0.73	2.91
0.90	0.70	2.91
1.00	0.66	2.79
1.10	0.59	2.99
1.20	0.60	3.30
1.40	0.77	3.45
1.52	0.79	3.52
1.60	0.68	3.59
1.70	0.21	4.44
1.80	0.51	3.52
1.90	0.17	3.50
1.95	-0.16	3.94
2.15	0.16	3.89
2.20	0.36	3.70
2.25	-0.01	3.89
2.30	0.40	3.54
2.50	0.31	3.85
2.60	0.30	3.56
2.70	0.63	3.61
2.80	1.10	2.75
3.02	0.18	4.14
3.10	0.17	4.53
3.20	0.66	3.59
3.30	0.15	4.54
3.40	0.12	4.53
3.50	0.15	4.49
3.60	0.20	4.56
3.70	0.19	4.57
3.80	0.12	4.52
3.90	0.19	4.43
4.00	0.16	4.45
4.10	0.15	4.52
4.20	0.21	4.41
4.30	0.12	4.47
4.40	0.17	4.54
4.52	0.00	4.43
4.60	0.13	4.35
4.70	0.09	4.48
4.80	0.16	4.42
4.90	0.05	4.36
5.00	0.05	4.35
5.10	0.05	4.14
5.35	0.05	4.40
5.40	0.10	4.36
5.50	0.07	4.40
5.60	0.16	4.19
5.70	-0.05	4.31
5.80	0.03	4.37
5.90	0.07	4.29
6.02	0.11	4.32
6.10	0.16	4.30
6.30	0.02	4.20
6.40	0.12	4.33
6.50	0.25	4.29
6.60	0.31	4.30
6.70	-0.09	4.20
6.90	0.32	4.15
7.00	0.33	4.31
7.10	0.13	4.10
7.30	0.10	4.08
7.40	-0.11	4.03
7.90	0.23	4.26
8.10	0.29	4.09
8.20	0.45	4.22
8.30	0.41	4.14
8.40	0.27	4.08
8.60	0.45	4.21
8.70	0.40	4.10
8.80	0.16	4.12
9.02	0.61	4.13
9.10	0.72	4.04
9.20	0.46	3.96
9.30	0.33	3.83
9.40	0.40	4.02
9.80	0.60	3.68
9.90	0.25	3.69
10.00	0.23	3.74
10.52	0.35	4.13
10.60	0.38	4.06
10.70	0.40	4.05
10.80	0.38	4.00
10.90	0.20	3.94
11.10	0.60	4.15
11.20	0.65	4.02
11.30	0.51	3.97
11.50	0.52	4.05
11.60	0.76	4.01
11.70	0.75	3.85
11.80	0.74	3.72
11.85	0.28	3.62
11.90	0.24	3.71
12.30	0.42	3.99
12.40	0.56	4.01
12.50	0.64	4.05
12.60	0.64	3.93
12.70	0.67	3.85
