/* DATA DESCRIPTION:
Citation:	Schönfeld, Joachim; Zahn, Rainer; de Abreu, Lucia (2003): (Fig. 2) Stable carbon isotope ratios of Cibicidoides wuellerstorfi in sediment core MD95-2039. PANGAEA, https://doi.org/10.1594/PANGAEA.82018, 
	In supplement to: Schönfeld, J et al. (2003): Surface to deep water response to rapid climate changes at the western Iberian Margin. Global and Planetary Change, 36(4), 237-264, https://doi.org/10.1016/S0921-8181(02)00197-2
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.578500 * LONGITUDE: -10.348500
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 22.000 m
Event(s):	MD95-2039 (MD952039) * LATITUDE: 40.578500 * LONGITUDE: -10.348500 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -3381.0 m * Recovery: 36 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections
Comment:	Another dataseries of d13C-measurements for this core exists. The other series covers the whole core, but at less resolution and without age calibration
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	259 data points
*/
Depth [m]	Age [ka BP]	C. wuellerstorfi δ13C [‰ PDB]
0.020	0.00000	0.75
0.100	1.44175	0.97
0.200	3.24395	1.05
0.300	5.04614	0.98
0.385	6.57800	0.87
0.400	6.66544	0.87
0.500	7.24837	0.87
0.600	7.83129	0.95
0.700	8.41422	0.85
0.800	8.99715	0.73
0.900	9.58007	0.70
1.000	10.16300	0.66
1.100	10.80900	0.59
1.200	11.45490	0.60
1.400	12.74690	0.77
1.520	13.52200	0.79
1.600	13.65900	0.68
1.685	14.12900	0.51
1.800	14.59100	0.51
1.900	14.85000	0.17
1.950	15.13300	-0.16
2.150	16.04450	0.16
2.200	16.07500	0.36
2.250	16.13500	-0.01
2.300	16.20280	0.40
2.425	16.54030	0.05
2.485	16.74030	0.32
2.500	16.79030	0.31
2.520	16.85700	0.61
2.600	16.97890	0.30
2.615	17.00170	0.50
2.650	17.05500	0.18
2.685	17.10830	0.43
2.700	17.13120	0.63
2.745	17.19970	0.31
2.775	17.24540	0.39
2.815	17.30630	-0.24
2.845	17.35200	-0.09
2.945	17.50430	-0.03
2.975	17.55000	-0.01
3.020	17.58490	0.18
3.065	17.61970	0.16
3.095	17.64300	0.22
3.100	17.66590	0.17
3.145	17.87190	0.13
3.205	18.14670	0.14
3.245	18.32980	-0.09
3.280	18.49010	0.11
3.300	18.58160	0.15
3.305	18.60450	0.16
3.355	18.82790	0.01
3.385	18.95860	0.22
3.400	19.02400	0.12
3.405	19.04570	0.20
3.445	19.22000	0.16
3.480	19.32080	0.11
3.500	19.37840	0.15
3.505	19.39280	0.04
3.545	19.50800	0.17
3.580	19.60880	0.07
3.600	19.66640	0.20
3.605	19.68080	0.12
3.700	19.95440	0.19
3.800	20.24240	0.12
3.900	20.43820	0.19
4.000	20.61090	0.16
4.100	20.78360	0.15
4.200	20.95640	0.21
4.300	21.12910	0.12
4.400	21.31410	0.17
4.520	21.53870	0.00
4.600	21.68840	0.13
4.700	21.87550	0.09
4.800	22.06270	0.16
