Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RAPID-12-1K,,0.085,1955.149169921875,,,5834.68017578125,1709.68017578125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.095,2224.2294921875,,,5927.39501953125,1926.39501953125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.105,2493.320068359375,,,6036.1103515625,2168.110107421875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.115,2762.409423828125,,,6129.8251953125,2449.8251953125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.125,3031.492919921875,,,6242.369140625,2747.369140625,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.135,3300.580078125,,,6421.2841796875,3031.283935546875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.145,3569.669677734375,,,6609.19921875,3333.198974609375,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.155,3838.742431640625,,,6852.1142578125,3625.114013671875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.165,4107.85302734375,,,7136.029296875,3911.029052734375,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.175,4376.93359375,,,7462.94384765625,4199.94384765625,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.185,4646.0087890625,,,7874.85888671875,4483.85888671875,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
RAPID-12-1K,,0.195,4951.6767578125,,,8082.408203125,4846.408203125,"1,3,5",Age model from Repschlaeger et al. (2021),"14C AMS; ash layers; manual alignments, bacon, pdv",1
