EXPEDITION,EXP_NUM,SITE,HOLE,GEOB_NR,SHIPSITE,AREA,GEAR,LATITUDE_DEC,LONGITUDE_DEC,DATE,TIME,WATER_DEPTH,RECOVERY,REMARKS
M6-6,10,1000,1,GeoB1000-1,M6/6_166-1,Profil A,GBC,-5.698333333,11.71,02/20/1988,04:38:00,106,138,"Ton, feinsandig, olivegrau"
M6-6,10,1000,2,GeoB1000-2,M6/6_166-2,Profil A,GBC,-5.698333333,11.71,02/20/1988,04:58:00,105.1,92,"Ton, feinsandig, olivegrau"
M6-6,10,1000,3,GeoB1000-3,M6/6_166-3,Profil A,HN,-5.698333333,11.71,02/20/1988,04:36:00,106,,40 m
M6-6,10,1000,4,GeoB1000-4,M6/6_166-4,Profil A,HN,-5.698333333,11.71,02/20/1988,04:49:00,106,,50 m
M6-6,10,1001,1,GeoB1001-1,M6/6_167-1,Profil A,GBC,-5.865,11.97166667,02/20/1988,07:05:00,45,100,"Tonschlamm, Rippeln"
M6-6,10,1001,2,GeoB1001-2,M6/6_167-2,Profil A,GBC,-5.863333333,11.97166667,02/20/1988,07:26:00,45.2,148,"Tonschlamm, dunkelgrau"
M6-6,10,1001,3,GeoB1001-3,M6/6_167-3,Profil A,HN,-5.865,11.97166667,02/20/1988,07:05:00,,,30 m
M6-6,10,1001,4,GeoB1001-4,M6/6_167-4,Profil A,HN,-5.865,11.97166667,02/20/1988,07:12:00,,,30 m
M6-6,10,1002,1,GeoB1002-1,M6/6_168-1,Profil A,GBC,-6.068333333,12.245,02/20/1988,09:42:00,255,111,"Tonschlamm, dunkelolive"
M6-6,10,1002,2,GeoB1002-2,M6/6_168-2,Profil A,GBC,-6.068333333,12.245,02/20/1988,10:19:00,161,,nicht ausgelt!
M6-6,10,1002,3,GeoB1002-3,M6/6_168-3,Profil A,GBC,-6.066666667,12.245,02/20/1988,10:32:00,162.6,,nicht ausgelt!
M6-6,10,1002,4,GeoB1002-4,M6/6_168-4,Profil A,HN,-6.066666667,12.24166667,02/20/1988,09:38:00,,,"50 m, Plankton"
M6-6,10,1002,5,GeoB1002-5,M6/6_168-5,Profil A,HN,-6.066666667,12.24166667,02/20/1988,09:54:00,,,"50 m, Plankton"
M6-6,10,1003,1,GeoB1003-1,M6/6_169-1,Profil A,GBC,-6.078333333,12.27833333,02/20/1988,11:21:00,323,,"nicht ausgelt, Seitenlage"
M6-6,10,1003,2,GeoB1003-2,M6/6_169-2,Profil A,GBC,-6.078333333,12.27833333,02/20/1988,10:37:00,215,,Starke Strung
M6-6,10,1003,3,GeoB1003-3,M6/6_169-3,Profil A,GBC,-6.078333333,12.27833333,02/20/1988,10:55:00,230,,"abgebrochen, Seill舅ge 260 m"
M6-6,10,1004,1,GeoB1004-1,M6/6_170-1,Profil A,GBC,-6.096666667,12.12666667,02/20/1988,12:59:00,28.8,,"ausgesp・t, Schere nicht geschlossen"
M6-6,10,1004,2,GeoB1004-2,M6/6_170-2,Profil A,GBC,-6.1,12.12666667,02/20/1988,13:31:00,30.3,84,"Grobsand, braun, Schill"
M6-6,10,1004,3,GeoB1004-3,M6/6_170-3,Profil A,GBC,-6.1,12.12666667,02/20/1988,13:55:00,30.6,58,"Grobsand, Schill, Rippeln"
M6-6,10,1005,1,GeoB1005-1,M6/6_171-1,Profil A,MPS,-6.236666667,11.50166667,02/20/1988,17:17:00,240,,"200 m, 100 m, 75 m, 50 m, 25 m, Plankton"
M6-6,10,1005,2,GeoB1005-2,M6/6_171-2,Profil A,GBC,-6.235,11.50166667,02/20/1988,17:46:00,237.1,148,"Ton, olivegr・rau, Forams"
M6-6,10,1005,3,GeoB1005-3,M6/6_171-3,Profil A,GBC,-6.235,11.505,02/20/1988,18:11:00,232,102,"Ton, wenig Schill, Forams"
M6-6,10,1006,1,GeoB1006-1,M6/6_172-1,Profil A,MPS,-6.291666667,11.295,02/20/1988,19:37:00,680,,"150 m, 100 m, 75 m, 50 m, 25 m, Plankton"
M6-6,10,1006,2,GeoB1006-2,M6/6_172-2,Profil A,GBC,-6.286666667,11.30166667,02/20/1988,20:24:00,682,127,"Tonschlamm, Olive-braungrau"
M6-6,10,1006,3,GeoB1006-3,M6/6_172-3,Profil A,GBC,-6.283333333,11.305,02/20/1988,21:07:00,672,88,"Tonschlamm, olive-braungrau"
M6-6,10,1007,1,GeoB1007-1,M6/6_173-1,Profil A,MPS,-6.393333333,10.935,02/20/1988,23:32:00,1555,,"300 m, 150 m, 100 m, 50 m, 25 m, Plankton"
M6-6,10,1007,2,GeoB1007-2,M6/6_173-2,Profil A,GBC,-6.396666667,10.93833333,02/21/1988,00:42:00,1533,147,"Tonschlamm, gr・grau"
M6-6,10,1007,3,GeoB1007-3,M6/6_173-3,Profil A,GBC,-6.391666667,10.945,02/21/1988,01:39:00,1519,100,"Tonschlamm, gr・grau, Forams"
M6-6,10,1007,4,GeoB1007-4,M6/6_173-4,Profil A,GC,-6.386666667,10.95166667,02/21/1988,02:56:00,1502,487,"CC: Ton, dunkelgrau, Forams"
M6-6,10,1007,5,GeoB1007-5,M6/6_173-5,Profil A,HN,-6.391666667,10.93666667,02/21/1988,00:09:00,1550,,"50 m, Plankton"
M6-6,10,1008,1,GeoB1008-1,M6/6_174-1,Profil A,MPS,-6.56,10.31333333,02/21/1988,06:54:00,3122,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1008,2,GeoB1008-2,M6/6_174-2,Profil A,GC,-6.55,10.31166667,02/21/1988,08:20:00,3120,943,"CC: Ton, graugr・ , H2S, Forams"
M6-6,10,1008,3,GeoB1008-3,M6/6_174-3,Profil A,GC,-6.581666667,10.31833333,02/21/1988,11:04:00,3124,1217,"CC: Ton, blaugrau, H2S"
M6-6,10,1008,4,GeoB1008-4,M6/6_174-4,Profil A,GC,-6.586666667,10.32,02/21/1988,12:52:00,3115,,"CC: Ton, blaugrau, H2S"
M6-6,10,1008,5,GeoB1008-5,M6/6_174-5,Profil A,HN,-6.555,10.31166667,02/21/1988,07:35:00,3117,,"50m, Plankton"
M6-6,10,1008,6,GeoB1008-6,M6/6_174-6,Profil A,GBC,-6.593333333,10.31833333,02/21/1988,15:08:00,3100,129,"Tonschlamm, braungrau"
M6-6,10,1008,7,GeoB1008-7,M6/6_174-7,Profil A,HN,-6.595,10.31666667,02/21/1988,14:10:00,3105,,"50m, Plankton"
M6-6,10,1009,1,GeoB1009-1,M6/6_175-1,Profil A,MPS,-6.915,9.008333333,02/21/1988,22:20:00,4069,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1009,2,GeoB1009-2,M6/6_175-2,Profil A,GBC,-6.916666667,9,02/22/1988,00:08:00,4068,,ausgesp・t!
M6-6,10,1009,3,GeoB1009-3,M6/6_175-3,Profil A,GBC,-6.918333333,8.996666667,02/22/1988,02:19:00,4074,130,"Ton, braun-gr・grau"
M6-6,10,1009,4,GeoB1009-4,M6/6_175-4,Profil A,GC,-6.925,9,02/22/1988,04:20:00,3952,1749,"Ton, dunkelgraun, H2S-Geruch"
M6-6,10,1009,5,GeoB1009-5,M6/6_175-5,Profil A,HN,-6.915,9,02/22/1988,22:58:00,4069,,"50m, Plankton"
M6-6,10,1009,6,GeoB1009-6,M6/6_175-6,Profil A,HN,-6.915,9,02/22/1988,22:58:00,4069,,"50 m, Plankton"
M6-6,10,1010,1,GeoB1010-1,M6/6_176-1,Profil A,MPS,-7.451666667,7.398333333,02/22/1988,13:47:00,4495,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1010,2,GeoB1010-2,M6/6_176-2,Profil A,GC,-7.44,7.415,02/22/1988,15:18:00,4492,1224,"Ton, sandig, Forams"
M6-6,10,1010,3,GeoB1010-3,M6/6_176-3,Profil A,GBC,-7.428333333,7.42,02/22/1988,17:32:00,4474,131,"Ton, hell-dunkelbraun, laminiert"
M6-6,10,1010,4,GeoB1010-4,M6/6_176-4,Profil A,HN,-7.445,7.398333333,02/22/1988,14:34:00,4492,,50 m
M6-6,10,1010,5,GeoB1010-5,M6/6_176-5,Profil A,HN,-7.445,7.398333333,02/22/1988,14:34:00,4492,,50 m
M6-6,10,1011,1,GeoB1011-1,M6/6_177-1,Profil B,GBC,-11.805,13.665,02/24/1988,15:12:00,73,,"Schlick, siltig, Schill"
M6-6,10,1011,2,GeoB1011-2,M6/6_177-2,Profil B,GBC,-11.80333333,13.66166667,02/24/1988,15:36:00,72.7,148,"Schlick, siltig, olivegr・"
M6-6,10,1011,3,GeoB1011-3,M6/6_177-3,Profil B,HN,-11.805,13.665,02/24/1988,15:16:00,70,,"30m, Plankton"
M6-6,10,1011,4,GeoB1011-4,M6/6_177-4,Profil B,HN,-11.805,13.665,02/24/1988,15:16:00,70,,"30m, Plankton"
M6-6,10,1012,1,GeoB1012-1,M6/6_178-1,Profil B,GBC,-11.80833333,13.59,02/24/1988,16:16:00,98.9,138,"Schlick, Schill, Korallen"
M6-6,10,1012,2,GeoB1012-2,M6/6_178-2,Profil B,GBC,-11.80833333,13.59166667,02/24/1988,16:47:00,98.8,90,"Schlick, gr・grau, sandig"
M6-6,10,1012,3,GeoB1012-3,M6/6_178-3,Profil B,HN,-11.80833333,13.59166667,02/24/1988,16:30:00,100,,"30m, Plankton"
M6-6,10,1012,4,GeoB1012-4,M6/6_178-4,Profil B,HN,-11.80833333,13.59166667,02/24/1988,16:30:00,100,,"30m, Plankton"
M6-6,10,1013,1,GeoB1013-1,M6/6_179-1,Profil B,MPS,-11.79833333,13.44666667,02/24/1988,17:46:00,251,,"200m, 100m, 75m, 50m, 25m, Plankton"
M6-6,10,1013,2,GeoB1013-2,M6/6_179-2,Profil B,GBC,-11.79833333,13.44666667,02/24/1988,18:14:00,250,140,"Schlick, siltig, braun"
M6-6,10,1013,3,GeoB1013-3,M6/6_179-3,Profil B,GBC,-11.79833333,13.44666667,02/24/1988,18:38:00,248.5,98,"Schlick, braun"
M6-6,10,1013,4,GeoB1013-4,M6/6_179-4,Profil B,HN,-11.79833333,13.44666667,02/24/1988,18:35:00,251,,"50m, Plankton"
M6-6,10,1013,5,GeoB1013-5,M6/6_179-5,Profil B,HN,-11.79833333,13.44666667,02/24/1988,18:35:00,251,,"50m, Plankton"
M6-6,10,1014,1,GeoB1014-1,M6/6_180-1,Profil B,MPS,-11.78833333,13.30333333,02/24/1988,19:43:00,712,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1014,2,GeoB1014-2,M6/6_180-2,Profil B,GBC,-11.78666667,13.305,02/24/1988,20:23:00,701,142,"Schlick, siltig"
M6-6,10,1014,3,GeoB1014-3,M6/6_180-3,Profil B,HN,-11.78833333,13.30333333,02/24/1988,20:10:00,700,,"50 m, Plankton"
M6-6,10,1014,4,GeoB1014-4,M6/6_180-4,Profil B,HN,-11.78833333,13.30333333,02/24/1988,20:10:00,700,,"50 m, Plankton"
M6-6,10,1015,1,GeoB1015-1,M6/6_181-1,Profil B,MPS,-11.78,12.84166667,02/24/1988,23:16:00,1628,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1015,2,GeoB1015-2,M6/6_181-2,Profil B,GBC,-11.77833333,12.84666667,02/25/1988,00:14:00,1638,133,"Ton, Bivlaves, Forams"
M6-6,10,1015,3,GeoB1015-3,M6/6_181-3,Profil B,MUC,-11.77333333,12.83833333,02/25/1988,01:37:00,1650,,12 Kerne
M6-6,10,1015,4,GeoB1015-4,M6/6_181-4,Profil B,HN,-11.77833333,12.84666667,02/24/1988,23:52:00,1630,,"50m, Plankton"
M6-6,10,1015,5,GeoB1015-5,M6/6_181-5,Profil B,HN,-11.77833333,12.84666667,02/24/1988,23:52:00,1630,,"50m, Plankton"
M6-6,10,1016,1,GeoB1016-1,M6/6_182-1,Profil B,MPS,-11.75333333,11.69666667,02/25/1988,07:48:00,3402,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1016,2,GeoB1016-2,M6/6_182-2,Profil B,GBC,-11.75333333,11.69666667,02/25/1988,09:13:00,3410,120,"Ton, graugr・"
