Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD09-3257,,0,461,,,595,39,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,
MD09-3257,,0.02,735.5,,,2232.475,557.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.04,1106,,,3038.05,620,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.06,1435.5,,,3647.625,698.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.08,1756.5,,,4125.375,773.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.1,2058.5,,,4567.075,851.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.12,2359.5,,,4940.55,979.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.14,2646.5,,,5326.25,1065.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.16,2939,,,5500.125,1156.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.18,3189,,,5666.075,1295.55,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.2,3518,,,5816.65,1453.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.22,3799,,,6071.025,1737.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.24,4090.5,,,6245.4,1909.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.26,4388,,,6371.05,2052.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.28,4662.5,,,6499.9,2246.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.3,4964.5,,,6689.15,2467.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.32,5267.5,,,6791.1,2834.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.34,5574,,,6911.05,3151.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.36,5880,,,6987,3492.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.38,6160,,,7080.025,3882.625,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.4,6471.5,,,7159.1,4442.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.42,6796,,,7240.025,5145.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.44,7138.5,,,7341.05,5864.525,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.46,7463,,,8131.05,7306.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.48,7688.5,,,8873.35,7376.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.5,7903,,,9147.025,7441.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.52,8130,,,9516.55,7493.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.54,8338,,,9743.025,7554,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.56,8569.5,,,9900.275,7614.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.58,8784.5,,,10061.175,7694.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.6,8973,,,10154.025,7805.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.62,9192,,,10250.175,7943.725,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.64,9407,,,10334.225,8106.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.66,9610.5,,,10433.05,8248.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.68,9831,,,10489.425,8434.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.7,10055,,,10571.025,8668.6,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.72,10285.5,,,10622,9049.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.74,10531,,,10701,9577.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.76,10723,,,11026.15,10603.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.78,10794.5,,,11171.05,10647.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.8,10867,,,11237.1,10682.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.82,10945,,,11294.025,10717.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.84,11026,,,11346.025,10744.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.86,11102.5,,,11394.1,10790.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.88,11178.5,,,11450.075,10844.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.9,11249,,,11493,10921.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.92,11334,,,11559,11075.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.94,11507,,,11927.025,11321,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.96,11648,,,12047.05,11391.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,0.98,11773,,,12132,11455.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1,11908.5,,,12193.05,11518,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.02,12037,,,12257.025,11623,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.04,12162,,,12338.05,11824.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.06,12325,,,12468,12190,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.08,12441.5,,,12560,12292.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.1,12618.5,,,12927.025,12480,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.12,12823,,,13063.05,12561.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.14,13030,,,13185,12729.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.16,13243,,,13570.1,13104.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.18,13411,,,13725.05,13182.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.2,13583,,,13819.025,13249,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.22,13745,,,13935.025,13412.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.24,13926,,,14148.05,13773.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.26,14026,,,14270.2,13841.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.28,14118,,,14367.025,13898.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.3,14214,,,14469.05,13982.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.32,14415,,,14831.25,14196,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.34,14587,,,15000,14286.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.36,14753,,,15097.05,14374.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.38,14928.5,,,15179,14485.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.4,15098,,,15259.05,14694.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.42,15244,,,15410,15083.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3257,,1.44,15298.5,,,15516.05,15138.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
