/* DATA DESCRIPTION:
Citation:	Voelker, Antje H L; de Abreu, Lucia (2011): Raw stable oxygen and carbon isotope ratios of benthic foraminifera of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.746475, 
	In supplement to: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 22.22 m * MAXIMUM DEPTH, sediment/rock: 35.21 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Melonis sp., δ18O [‰ PDB] (Melonis sp. δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Melonis sp., δ13C [‰ PDB] (Melonis sp. δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Uvigerina peregrina, δ18O [‰ PDB] (U. peregrina δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Uvigerina peregrina, δ13C [‰ PDB] (U. peregrina δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	742 data points
*/
Depth [m]	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	Melonis sp. δ18O [‰ PDB]	Melonis sp. δ13C [‰ PDB]	U. peregrina δ18O [‰ PDB]	U. peregrina δ13C [‰ PDB]
22.22	3.09	0.82				
22.28	3.00	0.70				
22.31	3.02	0.80				
22.31	3.12	0.80				
22.34	2.98	0.82				
22.37	2.96	0.90				
22.40	2.93	0.85				
22.43	2.89	0.76				
22.46	2.90	0.68				
22.49	2.65	0.78				
22.55	2.90	0.72				
22.58	2.86	0.48				
22.64	3.07	0.83				
22.67	3.08	0.74				
22.70					3.66	-0.75
22.73	2.82	0.72				
22.76	2.97	0.90				
22.85					4.13	-1.07
22.88					4.06	-1.02
22.91					4.33	-1.10
22.94	3.26	0.18				
22.97	3.42	0.38				
23.00	3.71	-0.27				
23.03	3.88	-0.17				
23.06	3.85	-0.25				
23.09	4.01	-0.17				
23.12	4.02	-0.19				
23.18	3.87	0.18				
23.21	4.10	0.14				
23.24	4.00	0.07				
23.27	4.13	0.12				
23.30	4.33	0.21				
23.33	4.04	0.60				
23.36	4.08	0.25				
23.39	3.91	0.51				
23.42	3.90	0.34				
23.45	3.78	-0.13				
23.51	3.67	0.26				
23.54	3.64	0.07				
23.57	4.04	0.48				
23.63	3.75	-0.08				
23.66	3.69	0.41				
23.69					4.08	-0.74
23.72	3.68	0.29				
23.75	3.65	0.70				
23.78	3.62	0.26				
23.81	3.43	0.45				
23.84	3.22	0.53				
23.87	2.88	0.84				
23.90	2.82	0.74				
23.93	2.95	0.82				
23.96	3.17	0.76				
23.98	3.05	0.69				
24.03	2.96	0.78				
24.05	2.85	0.78				
24.08					3.44	-0.62
24.11	2.79	0.64				
24.14	2.73	0.64				
24.17	2.87	0.52				
24.20	2.74	0.75				
24.23					3.21	-0.80
24.26	2.65	0.25				
24.29					3.69	-1.16
24.32					3.61	-1.03
24.35					3.64	-1.06
24.38					3.62	-1.01
24.41					4.35	-0.95
24.44	3.77	0.55				
24.47					4.36	-1.03
24.50					3.32	-1.05
24.53	3.58	0.62				
24.56	3.57	0.34				
24.59	3.30	-0.01				
24.65	3.32	0.06				
24.68					3.96	-0.98
24.71					4.25	-1.27
24.74	3.25	-0.07				
24.77	3.44	0.12				
24.80	3.65	0.20				
24.83					4.59	-1.02
24.86	3.68	0.15				
24.89					4.63	-0.93
24.92	3.99	0.26				
24.98	3.92	0.22				
25.04	4.03	0.40				
25.07	4.09	0.10				
25.10					3.93	0.26
25.13	4.08	0.26				
25.16	4.11	0.38				
25.19					4.10	0.43
25.22					4.19	0.40
25.25					4.17	0.44
25.28	4.03	0.45				
25.31	3.90	0.33				
25.34	4.08	0.14				
25.37	3.99	0.13				
25.40	4.32	0.46				
25.43	4.10	0.46				
25.46	4.11	0.30				
25.52	4.01	0.35				
25.55	4.06	0.44				
25.58	3.98	0.48				
25.61	3.88	0.18				
25.64	3.52	0.15				
25.67	3.25	0.42				
25.70	3.94	0.27				
25.73	3.91	0.30				
25.76	3.98	-0.04				
25.79	4.02	0.16				
25.82	4.00	0.28				
25.85	4.00	0.10				
25.88	3.86	-0.04				
25.91	3.90	0.06				
25.94					3.55	0.01
25.97	3.88	-0.03				
26.00	3.64	-0.11				
26.03	4.33	0.40				
26.06	4.15	0.34				
26.09	4.12	0.26				
26.12	4.19	0.26				
26.15	4.25	0.30				
26.18	4.20	0.26				
26.21	4.06	0.13				
26.24	3.94	0.04				
26.27	4.05	0.22				
26.33	4.09	-0.08				
26.36			4.22	-1.95		
26.45			4.41	-2.10		
