/* DATA DESCRIPTION:
Citation:	Schönfeld, Joachim; Zahn, Rainer; de Abreu, Lucia (2003): Stable isotope ratios on benthic foraminifera of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.59933, 
	In supplement to: Schönfeld, J et al. (2003): Surface to deep water response to rapid climate changes at the western Iberian Margin. Global and Planetary Change, 36(4), 237-264, https://doi.org/10.1016/S0921-8181(02)00197-2
Keyword(s):	Western Iberian Margin
Related to:	Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2001): d18O Stratigraphy, chronology, and sea surface temperatures of Atlantic sediment records (GLAMAP-2000 Kiel). Berichte-Reports, Institut für Geowissenschaften, Universität Kiel, 13, 13+244 pp., https://doi.org/10.2312/reports-ifg.2001.13
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.03 m * MAXIMUM DEPTH, sediment/rock: 11.90 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Comment:	part of the data published in Vogelsang et al. (2001)
	This dataset was archived in 2003 and extended in 2006.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Sample code/label (Sample label) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de)
	Depth, top/min [m] (Depth top) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de)
	Depth, bottom/max [m] (Depth bot) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de)
	Species (Species) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de)
	Number of species [#] (Spec No) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Counting >250 µm fraction
	Foraminifera, benthic δ13C [‰ PDB] (Foram bent δ13C) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Foraminifera, benthic δ18O [‰ PDB] (Foram bent δ18O) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: adjusted for vital effect * COMMENT: d18OUvigerina - 0,64 = d18O C. wuellerstorfi
	Comment (Comment) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	925 data points
*/
Depth [m]	Sample label	Depth top [m]	Depth bot [m]	Species	Spec No [#]	Foram bent δ13C [‰ PDB]	Foram bent δ18O [‰ PDB]	δ18O [‰]	Comment
0.02		0.02	0.03	Cibicidoides wuellerstorfi	3	0.96	2.59	2.59	
0.14		0.14	0.15	Cibicidoides wuellerstorfi	2	1.18	2.65	2.65	
0.26		0.26	0.27	Cibicidoides wuellerstorfi	3	1.02	2.47	2.47	
0.38		0.38	0.39	Cibicidoides wuellerstorfi	2	1.13	2.56	2.56	
0.50		0.50	0.51	Cibicidoides wuellerstorfi	3	0.86	2.52	2.52	
0.62		0.62	0.63	Cibicidoides wuellerstorfi	3	0.99	2.43	2.43	
0.74		0.74	0.75	Cibicidoides wuellerstorfi	2	0.82	2.61	2.61	
0.86		0.86	0.87	Cibicidoides wuellerstorfi	1	0.88	2.73	2.73	
0.98		0.98	0.99	Cibicidoides wuellerstorfi	3	1.01	2.48	2.48	
1.10		1.10	1.11	Cibicidoides wuellerstorfi	3	0.80	2.76	2.76	
1.22		1.22	1.23	Cibicidoides wuellerstorfi	1	0.74	2.45	2.45	
1.34		1.34	1.35	Cibicidoides wuellerstorfi	3	0.72	2.81	2.81	
1.46		1.46	1.47	Cibicidoides wuellerstorfi	3	0.57	2.91	2.91	
1.58		1.58	1.59	Cibicidoides wuellerstorfi	3	0.82	3.00	3.00	
1.70		1.70	1.71	Cibicidoides wuellerstorfi	3	0.79	3.07	3.07	
1.82		1.82	1.83	Cibicidoides wuellerstorfi	3	0.56	2.77	2.77	
1.88		1.88	1.89	Cibicidoides wuellerstorfi	2	0.46	3.03	3.03	
1.92		1.91	1.92	Cibicidoides wuellerstorfi	2	0.56	3.11	3.11	
1.95		1.94	1.96	Cibicidoides wuellerstorfi	2	0.67	3.12	3.12	
1.98		1.97	1.98	Cibicidoides wuellerstorfi	2	0.15	3.37	3.37	
2.00		2.00	2.01	Cibicidoides wuellerstorfi	3	0.73	3.31	3.31	
2.04		2.03	2.04	Cibicidoides wuellerstorfi	2	0.20	3.42	3.42	
2.06		2.06	2.07	Cibicidoides wuellerstorfi	3	0.63	3.38	3.38	
2.10		2.09	2.10	Cibicidoides wuellerstorfi	1	0.65	3.42	3.42	
2.12		2.12	2.13	Cibicidoides kullenbergi	1	0.00	3.78	3.78	
2.16		2.15	2.16	Cibicidoides wuellerstorfi	3	0.45	3.57	3.57	
2.18		2.18	2.19	Cibicidoides wuellerstorfi	1	0.63	3.19	3.19	
2.22		2.21	2.22	Cibicidoides wuellerstorfi	2	0.03	3.54	3.54	
2.24		2.24	2.25	Cibicidoides wuellerstorfi	2	-0.07	4.00	4.00	
2.28		2.27	2.28	Cibicidoides wuellerstorfi	1	0.01	3.71	3.71	
2.34		2.33	2.34	Cibicidoides wuellerstorfi	3	-0.04	3.68	3.68	
2.36		2.36	2.37	Cibicidoides wuellerstorfi	2	0.06	3.54	3.54	
2.40		2.39	2.40	Cibicidoides wuellerstorfi	1	0.02	3.64	3.64	
2.46		2.45	2.46	Cibicidoides wuellerstorfi	1	0.15	3.57	3.57	
2.48		2.48	2.49	Cibicidoides wuellerstorfi	1	0.16	3.52	3.52	
2.56		2.56	2.57	Cibicidoides wuellerstorfi	1	-0.18	3.57	3.57	
2.58		2.57	2.58	Cibicidoides wuellerstorfi	1	-0.10	3.91	3.91	
2.58		2.58	2.59	Cibicidoides wuellerstorfi	2	-0.01	3.71	3.71	
2.60		2.60	2.61	Cibicidoides kullenbergi	1	0.86	2.66	2.66	
