Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD99-2334,,0,209.5,,,579.05,-56,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.02,363,,,978,35.975,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.04,492,,,1321.025,125.975,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.06,617.5,,,1559.275,204.925,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.08,733.5,,,1776.1,266.925,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.1,852.5,,,1932.025,324.925,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.12,971.5,,,2043.35,384.725,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.14,1095,,,2136.025,410.875,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.16,1217,,,2217.025,455.725,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.18,1344,,,2260,499.675,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.2,1464,,,2302.175,556.95,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.22,1587,,,2363.175,613.95,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.24,1706,,,2400.175,680.875,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.26,1821,,,2454.05,762.1,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.28,1932,,,2505.125,798.65,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.3,2043.5,,,2572.05,906,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.32,2160,,,2645,988.9,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.34,2283,,,2712.175,1110.525,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.36,2399,,,2807.075,1411.9,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.38,2528,,,2921.025,1592.825,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.4,2701,,,3129.075,2259.925,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.42,2976,,,4698.15,2502.925,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.44,3195,,,5519.075,2639,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.46,3418.5,,,6174.8,2709.9,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
MD99-2334,,0.48,3643.5,,,6504.975,2777.85,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,1
