Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD09-3256,,0,1421,,,3332.05,49.575,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,
MD09-3256,,0.02,2010,,,3663,569.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.04,2554,,,3890.65,1041.675,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.06,3102.5,,,4114.075,1655.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.08,3682.5,,,4237,2289.425,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.1,4298,,,4993.675,3778.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.12,5046.5,,,6602.025,4391.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.14,5749,,,7548.05,4640.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.16,6486.5,,,8370.05,4995.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.18,7163.5,,,8987.075,5450.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.2,7853,,,9488.225,6053.325,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.22,8550,,,9939.3,6613.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.24,9229,,,10320.225,7386.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.26,9905.5,,,10552.05,8530.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.28,10664.5,,,11039.025,10037.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.3,11156,,,11783.025,10777.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.32,11618.5,,,12040.025,11022.725,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.34,12106.5,,,12336,11740,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.36,12322,,,12503.025,12131.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.38,12525.5,,,13092.025,12336.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.4,13385.5,,,14026.1,12731.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.42,14224.5,,,14631.425,13626.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.44,14696,,,15214.125,14276,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.46,15070.5,,,15480.225,14539,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.48,15499,,,15806.1,15117.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
MD09-3256,,0.5,15883,,,16209.05,15533.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
