/* DATA DESCRIPTION:
Citation:	Martrat, Belén; Grimalt, Joan O; Shackleton, Nicholas J; de Abreu, Lucia; Hutterli, Manuel A; Stocker, Thomas F (2007): (Table S4) Stable carbon isotope ratios of benthic foraminifera of sediment core MD95-2042. PANGAEA, https://doi.org/10.1594/PANGAEA.771893, 
	In supplement to: Martrat, B et al. (2007): Four climate cycles of recurring deep and surface water destabilizations on the Iberian Margin. Science, 317(5837), 502-507, https://doi.org/10.1126/science.1139994
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 29.48 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Comment:	Data combined from sediment cores MD95-2042 and MD01-2443.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic δ13C [‰ PDB] (Foram bent δ13C) * PI: Martrat, Belén (https://orcid.org/0000-0001-9904-9178, belen.martrat@idaea.csic.es)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1003 data points
*/
Depth [m]	Age [ka BP]	Foram bent δ13C [‰ PDB]
0.00	0.00	0.92
0.04	0.15	1.01
0.20	0.75	0.99
0.40	1.50	0.99
0.60	2.24	1.08
1.00	3.74	1.06
1.20	4.49	1.20
1.40	5.24	0.50
1.60	5.98	0.70
1.80	6.73	0.94
2.00	7.48	0.99
2.20	8.23	0.75
2.40	8.98	0.84
2.50	9.65	0.89
2.60	10.32	0.93
2.80	11.66	0.79
3.00	11.93	0.68
3.90	13.13	0.43
4.00	13.27	0.81
4.08	13.37	0.68
4.10	13.40	0.73
4.12	13.49	0.48
4.16	13.67	0.82
4.24	14.03	0.65
4.28	14.21	0.70
4.30	14.30	0.35
4.48	15.12	0.44
4.64	15.72	0.04
4.88	16.26	0.11
5.90	18.49	0.23
6.00	18.70	0.22
6.04	18.79	0.27
6.12	18.95	0.12
6.20	19.12	0.23
6.24	19.21	0.27
6.32	19.37	0.23
6.36	19.46	0.23
7.00	20.90	0.12
7.08	21.08	0.17
7.12	21.18	0.17
8.10	23.43	0.16
8.20	23.64	-0.06
8.28	23.80	0.08
8.32	23.88	0.01
8.60	24.42	0.38
8.92	25.02	0.16
9.00	25.17	-0.22
9.40	26.27	0.21
9.52	26.71	0.30
9.60	26.99	0.27
10.00	28.44	0.23
10.40	29.86	0.25
10.48	30.14	0.08
10.52	30.21	0.14
10.56	30.28	0.11
10.64	30.42	0.35
11.04	31.12	0.04
11.16	31.33	0.11
11.20	31.40	0.33
11.36	31.68	0.11
11.52	31.96	0.20
11.56	32.03	0.40
11.60	32.10	0.62
11.96	32.86	0.56
12.00	33.01	0.21
12.04	33.15	0.59
12.08	33.29	0.34
12.16	33.55	0.37
12.20	33.68	0.73
12.24	33.81	0.58
12.32	34.06	0.59
12.48	34.51	0.45
12.50	34.57	0.71
12.60	34.89	0.49
